sentiment,Direction,fear_greed_value,trade_count,realized_trades,unique_accounts,unique_coins,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl_per_trade,median_net_pnl_per_trade,win_rate_realized,avg_realized_pnl,pnl_per_1k_volume,avg_trade_size_usd,taker_rate
Extreme Fear,Close Long,20.22127864124339,6241.0,6241.0,24.0,21.0,42635958.849999994,506752.7898159999,9341.87964,497410.910176,79.70051436885115,12.174579,0.8464989585002404,81.19737058420124,11.66646473053344,6831.5909069059435,0.7003685306841853
Extreme Fear,Close Short,18.654475457170356,3117.0,3117.0,22.0,41.0,12393421.549999999,384638.543343,2489.1877919999997,382149.355551,122.6016540105871,2.628979,0.7058068655758742,123.4002384802695,30.83485492761279,3976.0736445299963,0.4870067372473532
Extreme Fear,Long > Short,19.8,5.0,5.0,3.0,4.0,4261.54,6.659777999999999,0.5890880000000001,6.070690000000001,1.2141380000000002,-0.008605000000000002,1.0,1.3319556,1.4245296301337076,852.308,0.4
Extreme Fear,Auto-Deleveraging,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Extreme Fear,Liquidated Isolated Short,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Extreme Fear,Settlement,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Extreme Fear,Spot Dust Conversion,21.333333333333332,3.0,0.0,2.0,2.0,0.69,0.0,0.0,0.0,0.0,0.0,,,0.0,0.22999999999999998,1.0
Extreme Fear,Buy,18.396530359355637,807.0,0.0,10.0,6.0,1194368.16,0.0,227.79432238689998,-227.79432238689998,-0.28227301411016104,-0.01119,,,-0.19072370648837456,1480.0101115241634,0.7980173482032218
Extreme Fear,Open Short,18.781978575929426,3174.0,0.0,23.0,55.0,13932592.870000001,0.0,3036.31184,-3036.31184,-0.9566199873976055,-0.1000595,,,-0.2179286991538998,4389.600778197858,0.4571518588531821
Extreme Fear,Open Long,20.235974304068524,7005.0,0.0,26.0,28.0,42461713.379999995,0.0,8394.270155,-8394.270155,-1.1983255039257674,-0.084068,,,-0.19769033057798857,6061.629319057815,0.47408993576017133
Extreme Fear,Short > Long,19.833333333333332,6.0,6.0,3.0,5.0,391526.58,-11595.101642000001,44.608084,-11639.709726000005,-1939.9516210000008,62.1669285,0.8333333333333334,-1932.5169403333337,-29.729040940208975,65254.43,0.16666666666666666
Extreme Fear,Sell,19.70729366602687,1042.0,1037.0,10.0,17.0,1470417.82,-140692.642805,353.993018,-141046.63582300002,-135.36145472456815,-1.7717770000000002,0.4223722275795564,-135.67275101735774,-95.92282812717818,1411.1495393474088,0.7888675623800384
Fear,Close Short,34.29660557423273,9221.0,9212.0,23.0,77.0,75309305.27000001,1914986.4622429996,15644.837207,1899341.6250359998,205.98000488406896,7.4050959999999995,0.8624620060790273,207.87955517184108,25.22054370607261,8167.151639735388,0.6244442034486498
Fear,Close Long,32.827346465816916,17260.0,17260.0,29.0,56.0,159250581.29,1432581.917537,30006.736099,1402575.181438,81.26159799756662,6.48501,0.8988991888760139,83.00011109716107,8.80734732693923,9226.569020278099,0.609385863267671
Fear,Short > Long,33.55555555555556,18.0,18.0,7.0,12.0,280341.22000000003,20086.976814999998,59.894307999999995,20027.082507,1112.6156948333332,32.185939,0.8888888888888888,1115.9431563888888,71.43823697064599,15574.512222222223,0.3333333333333333
Fear,Long > Short,34.07142857142857,14.0,14.0,6.0,5.0,361187.44000000006,67.1389820000004,52.778559,14.360422999999855,1.0257444999999896,-0.143675,0.6428571428571429,4.795641571428599,0.03975892129582317,25799.10285714286,0.7142857142857143
Fear,Auto-Deleveraging,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Fear,Liquidated Isolated Short,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Fear,Settlement,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Fear,Spot Dust Conversion,32.595238095238095,42.0,0.0,10.0,28.0,11.849999999999998,0.0,0.0,0.0,0.0,0.0,,,0.0,0.2821428571428571,1.0
Fear,Buy,34.0349236046149,3207.0,0.0,15.0,17.0,5245263.2,0.0,1476.2693321548,-1476.2693321548,-0.460327200547178,-0.0103,,,-0.2814480943787149,1635.5669473027751,0.7667602120361708
Fear,Sell,33.62128418549346,3364.0,3304.0,17.0,12.0,4536180.1899999995,-10567.053934999985,1241.291164,-11808.345098999982,-3.5102096013674142,1.6273135,0.7669491525423728,-3.1982608762106532,-2.603147274667672,1348.4483323424492,0.8570154577883472
Fear,Open Short,34.199228437586115,10887.0,0.0,24.0,76.0,72335082.91,0.0,15713.299001,-15713.299001,-1.4433084413520711,-0.138606,,,-0.2172292941248251,6644.170378432993,0.6031046201892165
Fear,Open Long,32.16270197486535,17824.0,0.0,28.0,55.0,166006836.42,0.0,28261.843004000006,-28261.843004000006,-1.5856060931328548,-0.10594899999999999,,,-0.17024505504398077,9313.669009201076,0.5001683123877917
Neutral,Close Short,48.25931623931624,5850.0,5849.0,19.0,106.0,20815400.25,554558.432744,5396.556843,549161.875901,93.87382494034188,7.433584,0.7767139681996923,94.81252055804413,26.38247976524016,3558.188076923077,0.8068376068376069
Neutral,Close Long,48.706594616231364,9993.0,9985.0,23.0,54.0,75999621.93,527788.159351,15732.829252,512055.330099,51.241401991293905,3.355653,0.8619929894842263,52.85810308973461,6.737603649800156,7605.2858931251885,0.5563894726308416
Neutral,Sell,48.884484228474,2346.0,2298.0,14.0,9.0,3817114.71,210007.44175500004,1077.117066,208930.324689,89.05810941560102,5.214625,0.7789382071366405,91.38705037206266,54.735144359599296,1627.0736189258312,0.896845694799659
Neutral,Long > Short,48.6,15.0,15.0,7.0,5.0,187224.95,709.9828940000001,41.530206,668.4526880000002,44.563512533333345,0.179946,0.7333333333333333,47.33219293333334,3.5703184217701764,12481.663333333334,0.5333333333333333
Neutral,Auto-Deleveraging,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Neutral,Liquidated Isolated Short,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Neutral,Settlement,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Neutral,Spot Dust Conversion,48.3,10.0,0.0,6.0,9.0,4.31,0.0,0.0,0.0,0.0,0.0,,,0.0,0.43099999999999994,1.0
Neutral,Short > Long,48.916666666666664,12.0,12.0,5.0,7.0,114549.48999999999,-143.3411940000001,19.610659000000002,-162.95185300000003,-13.579321083333335,14.524550999999999,0.8333333333333334,-11.945099500000007,-1.4225454255623489,9545.790833333333,0.75
Neutral,Buy,49.81282495667244,2885.0,0.0,14.0,13.0,4533327.35,0.0,628.8015868708,-628.8015868708,-0.21795548938329287,-0.007,,,-0.138706415470041,1571.3439688041592,0.7199306759098787
Neutral,Open Short,48.21249803242563,6353.0,0.0,20.0,80.0,26611622.529999997,0.0,6056.367373,-6056.367373,-0.9533082595624115,-0.155507,,,-0.2275835442266812,4188.827723909963,0.723122934046907
Neutral,Open Long,48.74946194482489,10222.0,0.0,23.0,57.0,48163197.56,0.0,10421.455318,-10421.455318,-1.0195123574642928,-0.0599975,,,-0.21637797833122108,4711.719581295246,0.4144981412639405
Greed,Sell,69.83110591379887,5986.0,5846.0,18.0,24.0,10153613.580000002,766340.3244870001,1739.4688999999998,764600.855587,127.73151613548279,9.660965000000001,0.7904550119739994,131.08797887222033,75.30332423651284,1696.2267925158708,0.5282325425993986
Greed,Close Long,66.08864716179045,7998.0,7963.0,24.0,83.0,76086336.03,711490.517659,16390.554439,695099.96322,86.90922270817705,6.282868,0.8667587592615849,89.3495564057516,9.135674018340557,9513.17029632408,0.5868967241810452
Greed,Close Short,69.03912736265677,11322.0,11319.0,22.0,111.0,51702249.45,624923.401153,11919.693471000002,613003.707682,54.14270514767709,2.653645,0.688753423447301,55.21012467117236,11.856422383997453,4566.529716481187,0.5490196078431373
Greed,Auto-Deleveraging,60.0,8.0,8.0,1.0,1.0,169507.75,57478.45602599999,0.0,57478.45602599999,7184.807003249999,5237.9855575,1.0,7184.807003249999,339.0904311218808,21188.46875,1.0
Greed,Short > Long,66.17391304347827,23.0,22.0,7.0,7.0,296139.43999999994,2315.3114590000005,31.760134,2283.551325,99.2848402173913,9.43622,0.9545454545454546,105.24142995454548,7.711067884102166,12875.627826086955,0.391304347826087
Greed,Long > Short,66.875,16.0,16.0,6.0,8.0,266185.16000000003,363.390575,13.206033,350.1845420000001,21.886533875000005,1.1372935000000002,0.625,22.7119109375,1.3155674869327803,16636.572500000002,0.5
Greed,Spot Dust Conversion,69.58181818181818,55.0,0.0,12.0,41.0,7.37,0.0,0.0,0.0,0.0,0.0,,,0.0,0.134,1.0
Greed,Settlement,62.0,1.0,1.0,1.0,1.0,782.83,-29.215368,0.0,-29.215368,-29.215368,-29.215368,0.0,-29.215368,-37.32019467828264,782.83,1.0
Greed,Buy,67.92230522945572,4685.0,0.0,16.0,14.0,8803186.129999999,0.0,768.3266061683,-768.3266061683,-0.16399714112450375,-0.00392695,,,-0.08727824163003357,1879.0151824973316,0.5784418356456777
Greed,Open Short,68.66529492455419,11664.0,0.0,23.0,120.0,46918524.629999995,0.0,9904.084168,-9904.084168,-0.8491155836762688,-0.11753,,,-0.21109112543720665,4022.507255658436,0.6990740740740741
Greed,Liquidated Isolated Short,72.0,1.0,1.0,1.0,1.0,32910.88,-12752.91304,0.0,-12752.91304,-12752.91304,-12752.91304,0.0,-12752.91304,-387.49839080571536,32910.88,0.0
Greed,Open Long,66.1374063670412,8544.0,0.0,25.0,87.0,94153051.47,0.0,22331.598228,-22331.598228,-2.6137170210674157,-0.194035,,,-0.23718400922051391,11019.785986657304,0.6897237827715356
Extreme Greed,Sell,79.30025125628141,7164.0,7161.0,19.0,29.0,10131467.809999999,2081660.3461310002,1762.9151570000001,2079897.4309739997,290.32627456365157,12.920425999999999,0.9247311827956989,290.6940854812177,205.29082952038712,1414.2194039642657,0.445142378559464
Extreme Greed,Close Long,79.92527136097968,7186.0,7185.0,20.0,86.0,28240750.79,444316.003184,7090.524025000001,437225.479159,60.84406890606735,10.0847935,0.8878218510786361,61.83938805622826,15.482077031529231,3929.9681032563317,0.5470359031450042
Extreme Greed,Close Short,79.13837155610281,6497.0,6489.0,15.0,111.0,19491848.22,188221.27096299996,4793.606983,183427.66398,28.23267107588118,4.410198,0.8596085683464324,29.006206035290486,9.410480828174641,3000.130555641065,0.6857010928120671
Extreme Greed,Long > Short,83.85714285714286,7.0,7.0,3.0,4.0,73063.01000000001,844.206779,12.479368999999998,831.72741,118.81820142857143,3.490202,0.8571428571428571,120.60096842857142,11.383700315659045,10437.572857142859,0.8571428571428571
Extreme Greed,Short > Long,82.63636363636364,11.0,11.0,4.0,6.0,33705.51,129.48361599999996,6.211893999999999,123.271722,11.206520181818181,0.5988179999999999,0.8181818181818182,11.771237818181815,3.657316622712429,3064.137272727273,0.7272727272727273
Extreme Greed,Auto-Deleveraging,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Extreme Greed,Liquidated Isolated Short,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Extreme Greed,Settlement,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Extreme Greed,Spot Dust Conversion,81.21875,32.0,0.0,9.0,17.0,1.31,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0409375,1.0
Extreme Greed,Buy,78.95985970381918,5132.0,0.0,21.0,25.0,11420652.2,0.0,663.79020315,-663.79020315,-0.1293433755163679,-0.00886048,,,-0.05812191734111298,2225.3803975058454,0.7422057677318784
Extreme Greed,Open Short,79.60537648440558,7663.0,0.0,17.0,105.0,25687039.64,0.0,5257.882024999999,-5257.882024999999,-0.6861388522771759,-0.097585,,,-0.20469007323103108,3352.086603158032,0.7220409761190134
Extreme Greed,Open Long,80.24412698412698,6300.0,0.0,20.0,80.0,29386636.08,0.0,7443.255808999999,-7443.255808999999,-1.181469176031746,-0.1484335,,,-0.2532870992357557,4664.545409523809,0.6223809523809524
