Coin,net_pnl,volume_usd,realized_trades,pnl_per_1k_volume
@107,2777959.69422801,55760858.63,17166.0,49.819169978373225
HYPE,1923122.669321,141990206.05,32011.0,13.544051542849353
SOL,1611599.6231039998,125074752.06,5030.0,12.885091487776
ETH,1296887.535207,118280994.07,5228.0,10.964462595228849
BTC,728820.5058340001,644232116.63,11009.0,1.1313011056426134
MELANIA,389340.68131400004,7040710.449999999,2211.0,55.29849353682768
ENA,217053.07567600004,1625400.5,332.0,133.53821145988329
SUI,197265.62879299998,7781167.590000001,893.0,25.351674605558774
ZRO,183543.71468600002,1213825.4200000002,794.0,151.2109663068351
DOGE,147020.932245,2452103.46,459.0,59.95706732741204
PURR/USDC,73416.501638,1642418.69,1187.0,44.700235137972044
AIXBT,73358.613137,1273650.18,494.0,57.59714424646805
BERA,73332.638126,2056756.0,609.0,35.654515229808496
USUAL,69454.95397999999,962189.3699999999,430.0,72.18428736122911
AVAX,48192.58055099999,400115.48,105.0,120.44667842143971
ETHFI,43675.855501000005,769716.1299999999,124.0,56.74280919772334
JUP,42421.074233,1496950.4,306.0,28.338329869179365
kBONK,35285.207269,2995780.58,1165.0,11.778301623478713
JELLY,34852.604613,2193971.31,911.0,15.88562459962159
PURR,26628.465780000002,1098592.1,863.0,24.23871952110342
@85,26493.86568421,49034.5,43.0,540.3107135631036
ONDO,24398.61622,1726582.0899999999,720.0,14.13116489584344
EIGEN,22509.792153000002,329112.67000000004,92.0,68.39539830842732
WLD,21660.172115,2792841.63,940.0,7.755603426392639
ANIME,21163.276609,590255.83,264.0,35.85441351591564
ZEREBRO,20970.7549,1320048.4500000002,640.0,15.886352428958192
LAYER,20236.521908,1060068.8499999999,79.0,19.08981846603643
VIRTUAL,19144.458263,1361590.2500000002,337.0,14.060366738818816
kPEPE,18251.620224,2450800.0700000003,1033.0,7.447208953278673
TAO,16559.684288,1693805.35,665.0,9.776615883283164
MOODENG,16111.004546,161956.47,56.0,99.47737528485277
ME,15968.164606999999,316205.37,223.0,50.49934669673699
PNUT,14616.209337999999,961622.82,463.0,15.199524214701976
NEAR,13923.115018,813006.76,201.0,17.12546033196575
RNDR,13566.348598999999,619792.3600000001,146.0,21.888537959712828
TIA,12845.757106,764851.2299999999,158.0,16.79510550829604
@151,11525.602421791998,574271.34,301.0,20.069959301454954
SEI,9602.258855999997,1266275.0,170.0,7.583075442538151
ARB,9567.300403,311759.41000000003,46.0,30.688088622569555
APE,9562.187436,655500.97,241.0,14.587602267011139
WIF,8924.505302999998,588175.4,189.0,15.17320395072626
TURBO,8493.966088000001,183553.46,57.0,46.275161950093455
MAVIA,8213.753454,345694.75,235.0,23.76013362655927
OP,8035.135842,340426.56999999995,95.0,23.603139561051304
GOAT,8011.786117999999,376116.52,63.0,21.30134065368891
AI16Z,7917.643007999999,631600.28,355.0,12.53584467695296
PENDLE,7564.144877999999,619760.27,594.0,12.204952857013566
JTO,7303.331340000002,355918.02,72.0,20.5197009693412
@142,7269.2267042572,2486351.27,337.0,2.923652338254361
AAVE,7177.483837999997,1100411.81,229.0,6.522543444894504
GRIFFAIN,7009.629187,583690.7899999999,421.0,12.009148177582176
FTM,6875.261807000001,464105.23000000004,61.0,14.814014931484397
FTT,6814.17037,384755.3,636.0,17.71040027258884
ZORA,6776.0304,340924.25999999995,98.0,19.87547146102187
RUNE,6150.777929000001,672350.38,218.0,9.148173499954
RENDER,6037.8535839999995,231090.12999999998,126.0,26.127699975762702
INJ,5901.190541999999,347802.64,104.0,16.967066558206685
ALT,5810.4481319999995,452509.60000000003,181.0,12.840496935313636
SPX,5577.042743,289426.51,72.0,19.269287885895455
LTC,5549.165999999999,343217.55,112.0,16.168071824998457
@109,5409.744299000001,5670.66,14.0,953.9884773553697
ILV,5259.8739,319713.52,82.0,16.451834442284454
TNSR,4986.030607,415869.25,312.0,11.989418806511903
PENGU,4946.498776000001,1012148.96,497.0,4.8871252863807735
CHILLGUY,4685.6930760000005,266880.32,135.0,17.557282140548992
VINE,4656.448761000001,676727.95,341.0,6.880828198391985
ZETA,4616.235360000001,313968.58,230.0,14.702857719074949
LINK,4481.007235,443972.69,171.0,10.092979446551093
MEME,4436.952338,173898.29,56.0,25.51464041423294
BLUR,3312.694725,175549.22,61.0,18.870461087779255
TST,3302.65798,490758.52999999997,121.0,6.729700612641415
XRP,3055.0535379999997,5343210.53,874.0,0.5717636467526575
IP,2982.339213,477338.87,267.0,6.2478448759054555
COMP,2791.807334,113669.31,66.0,24.56078368030914
ACE,2762.160127,72261.42,23.0,38.224548133706755
@59,2553.67646316,24622.53,8.0,103.71300037648447
MOVE,2543.5391950000003,130978.56,93.0,19.419508009555155
PROMPT,2340.196702,231701.50999999998,115.0,10.100049421343867
VVV,2183.636319,213572.86,73.0,10.224315575490257
SAND,2181.0135760000003,95828.66,70.0,22.759512404744054
HPOS,1964.7530129999998,74362.93000000001,61.0,26.42113500638019
HBAR,1885.453933,75989.03,118.0,24.81218582471707
BIGTIME,1830.278087,117712.13999999998,36.0,15.548762319672381
OGN,1740.33942,58247.63999999999,257.0,29.878282107223576
PYTH,1717.861742,419640.75,62.0,4.093648536277756
APT,1710.507556,216136.03,32.0,7.914032454468605
SCR,1595.54776,49793.18,21.0,32.04349993312337
kFLOKI,1594.436919,37380.89,20.0,42.653797675764274
STX,1565.974805,173875.01,53.0,9.00632474442417
NTRN,1563.606281,248372.30000000002,70.0,6.295413300919628
WCT,1526.112264,58468.889999999985,26.0,26.1012696495521
W,1504.378571,306770.28,206.0,4.903925409593132
MANTA,1481.8522590000002,78103.9,54.0,18.9728330979631
